id,name,height,date_of_birth
nm0000002,Lauren Bacall,174,1924-09-16
nm0000110,Kenneth Branagh,177,1960-12-10
nm0000009,Richard Burton,175,1925-11-10
nm0000114,Steve Buscemi,175,1957-12-13
nm0000014,Olivia de Havilland,163,1916-07-01
nm0000130,Jamie Lee Curtis,170,1958-11-22
nm0000017,Marlene Dietrich,164,1901-12-27
nm0000198,Gary Oldman,174,1958-03-21
nm0000029,Margaux Hemingway,183,1954-02-16
nm0000234,Charlize Theron,177,1975-08-07
nm0000032,Charlton Heston,191,1923-10-04
nm0000243,Denzel Washington,185,1954-12-28
nm0000033,Alfred Hitchcock,170,1899-08-13
nm0000288,Christian Bale,183,1974-01-30
nm0000040,Stanley Kubrick,169,1928-07-26
nm0000291,Angela Bassett,163,1958-08-16
nm0000041,Akira Kurosawa,182,1910-03-23
nm0000353,Willem Dafoe,175,1955-07-22
nm0000042,Alan Ladd,168,1913-09-03
nm0000368,Laura Dern,178,1967-02-10
nm0000057,David Niven,180,1910-03-01
nm0000369,Matt Dillon,183,1964-02-18
nm0000061,Tyrone Power,180,1914-05-05
nm0000383,Jennifer Ehle,170,1969-12-29
nm0000063,Anthony Quinn,188,1915-04-21
nm0000385,Sam Elliott,188,1944-08-09
nm0000080,Orson Welles,183,1915-05-06
nm0000389,Emilio Estevez,169,1962-05-12
nm0000086,Louis de Funès,164,1914-07-31
nm0000391,Rupert Everett,193,1959-05-29
nm0000092,John Cleese,196,1939-10-27
nm0000402,Carrie Fisher,155,1956-10-21
nm0000093,Brad Pitt,180,1963-12-18
nm0000434,Mark Hamill,175,1951-09-25
nm0000096,Gillian Anderson,160,1968-08-09
nm0000456,Holly Hunter,157,1958-03-20
nm0000099,Patricia Arquette,157,1968-04-08
nm0000474,Michael Keaton,175,1951-09-05
nm0000104,Antonio Banderas,174,1960-08-10
nm0000490,Spike Lee,165,1957-03-20
nm0000105,Adrienne Barbeau,157,1945-06-11
nm0000546,Matthew Modine,191,1959-03-22
nm0000106,Drew Barrymore,163,1975-02-22
nm0000596,Jonathan Pryce,183,1947-06-01
nm0000108,Luc Besson,172,1959-03-18
nm0000600,Sam Raimi,180,1959-10-23
nm0000616,Eric Roberts,178,1956-04-18
nm0000113,Sandra Bullock,171,1964-07-26
nm0000667,David Thewlis,190,1963-03-20
nm0000680,Casper Van Dien,178,1968-12-18
nm0000115,Nicolas Cage,183,1964-01-07
nm0000681,Vince Vaughn,196,1970-03-28
nm0000119,Tia Carrere,173,1967-01-02
nm0000706,Michelle Yeoh,163,1962-08-06
nm0000123,George Clooney,180,1961-05-06
nm0000729,Casey Affleck,175,1975-08-12
nm0000126,Kevin Costner,185,1955-01-18
nm0000776,Michael Apted,180,1941-02-10
nm0000801,Olivier Assayas,,1955-01-25
nm0000131,John Cusack,188,1966-06-28
nm0000906,Annette Bening,173,1958-05-29
nm0000132,Claire Danes,166,1979-04-12
nm0000915,Bruce Beresford,,1940-08-16
nm0000136,Johnny Depp,178,1963-06-09
nm0000953,Peter Bogdanovich,178,1939-07-30
nm0000138,Leonardo DiCaprio,183,1974-11-11
nm0000973,Benjamin Bratt,187,1963-12-16
nm0000140,Michael Douglas,178,1944-09-25
nm0000982,Josh Brolin,179,1968-02-12
nm0000146,Ralph Fiennes,180,1962-12-22
nm0001057,Toni Collette,173,1972-11-01
nm0000147,Colin Firth,187,1960-09-10
nm0001068,Sofia Coppola,166,1971-05-14
nm0000149,Jodie Foster,160,1962-11-19
nm0001194,Jeff Fahey,183,1952-11-29
nm0000150,Michael J. Fox,163,1961-06-09
nm0001226,James Foley,,1953-12-28
nm0000151,Morgan Freeman,188,1937-06-01
nm0001290,Richard E. Grant,188,1957-05-05
nm0000152,Richard Gere,178,1949-08-31
nm0001295,Graham Greene,179,1952-06-22
nm0000153,Gina Gershon,168,1962-06-10
nm0001327,David Hasselhoff,193,1952-07-17
nm0000154,Mel Gibson,177,1956-01-03
nm0001376,Isabelle Huppert,157,1953-03-16
nm0000155,Whoopi Goldberg,165,1955-11-13
nm0001416,Catherine Keener,173,1959-03-23
nm0000156,Jeff Goldblum,194,1952-10-22
nm0001424,Udo Kier,180,1944-10-14
nm0000158,Tom Hanks,183,1956-07-09
nm0001457,James Le Gros,176,1962-04-27
nm0000160,Ethan Hawke,179,1970-11-06
nm0001460,Mimi Leder,,1952-01-26
nm0000161,Salma Hayek,157,1966-09-02
nm0001626,Christopher Plummer,179,1929-12-13
nm0000162,Anne Heche,165,1969-05-25
nm0001667,Jonathan Rhys Meyers,177,1977-07-27
nm0000163,Dustin Hoffman,167,1937-08-08
nm0001707,Paul Schrader,173,1946-07-22
nm0000164,Anthony Hopkins,175,1937-12-31
nm0001765,Harry Dean Stanton,173,1926-07-14
nm0000166,Helen Hunt,170,1963-06-15
nm0001772,Patrick Stewart,178,1940-07-13
nm0000167,Elizabeth Hurley,173,1965-06-10
nm0001838,Rachel Weisz,168,1970-03-07
nm0000168,Samuel L. Jackson,189,1948-12-21
nm0001845,Forest Whitaker,188,1961-07-15
nm0000169,Tommy Lee Jones,183,1946-09-15
nm0001856,Oprah Winfrey,169,1954-01-29
nm0000170,Milla Jovovich,174,1975-12-17
nm0001971,Ewen Bremner,173,1972-01-23
nm0000172,Harvey Keitel,171,1939-05-13
nm0001987,Tantoo Cardinal,,1950-07-20
nm0000173,Nicole Kidman,180,1967-06-20
nm0002005,Agatha Christie,,1890-09-15
nm0000179,Jude Law,178,1972-12-29
nm0002033,Tyne Daly,166,1946-02-21
nm0000180,David Lean,186,1908-03-25
nm0002077,Dexter Fletcher,168,1966-01-31
nm0000182,Jennifer Lopez,164,1969-07-24
nm0002090,Zach Galligan,178,1964-02-14
nm0000183,Traci Lords,170,1968-05-07
nm0002140,Agnieszka Holland,,1948-11-28
nm0000185,Dolph Lundgren,196,1957-11-03
nm0002191,Jacques Audiard,174,1952-04-30
nm0000186,David Lynch,178,1946-01-20
nm0002253,John Carroll Lynch,193,1963-08-01
nm0000190,Matthew McConaughey,182,1969-11-04
nm0002645,Paolo Genovese,,1966-08-20
nm0000191,Ewan McGregor,177,1971-03-31
nm0002672,Joseph Conlan,,
nm0000193,Demi Moore,165,1962-11-11
nm0002692,Joshua Tunick,,1977-04-04
nm0000194,Julianne Moore,160,1960-12-03
nm0002888,Stephen Blackehart,188,1967-12-01
nm0002998,Kenneth Hughes,,
nm0000200,Bill Paxton,183,1955-05-17
nm0003400,Joram Lürsen,,1963-08-11
nm0000201,Michelle Pfeiffer,171,1958-04-29
nm0003482,Nash Edgerton,183,1973-01-19
nm0000202,Ryan Phillippe,173,1974-09-10
nm0003506,James Mangold,183,1963-12-16
nm0000204,Natalie Portman,160,1981-06-09
nm0003761,Edward T. McDougal,,
nm0000206,Keanu Reeves,186,1964-09-02
nm0003832,Ingrid Schoelderle,172,1952-05-28
