movie_id,avg_rating,total_votes
tt0012494,7.7,4695
tt0038733,8.1,17693
tt0060908,7.5,3392
tt0069049,6.9,5014
tt0071145,8.2,789
tt0082620,3.6,236
tt0083907,7.5,174505
tt0085953,6.2,262
tt0095857,7,137
tt0097268,6.9,179
tt0100275,6.6,121
tt0116851,7.6,3149
tt0137204,8.6,264
tt0147855,7.3,171
tt0192669,2.6,449
tt0235166,3.6,145
tt0278422,5,109
tt0331314,5,319
tt0337383,8.2,493
tt0339091,2.4,943
tt0339736,5.5,2577
tt0347307,7.3,129
tt0352314,7.6,6014
tt0360556,4.9,15320
tt0361953,5.1,220
tt0365545,6.4,6732
tt0385887,7.2,4414
tt0427543,6.5,292
tt0437086,7.4,171427
tt0441881,7.1,1872
tt0443474,6.6,568
tt0448115,7.1,191155
tt0451201,6.3,382
tt0451279,7.4,507173
tt0456407,5.1,188
tt0460890,6.3,9426
tt0490215,7.1,88842
tt0491175,5.7,34001
tt0491203,6.2,16190
tt0493405,6,38693
tt0493407,4,745
tt0498381,4.5,35233
tt0499469,7.3,174
tt0765465,5,340
tt0800325,7,31672
tt0835802,5.4,1016
tt0837563,5.8,61560
tt0858419,5.5,295
tt0859635,6.1,21489
tt0862930,6.9,339
tt0915458,4.5,371
tt0926132,6.7,371
tt0972544,7,3542
tt0974015,6.4,345770
tt10002654,8,798
tt10006270,5.5,115
tt10008784,8.7,1238
tt10009434,5,201
tt10012964,7.9,179
tt10016532,6.4,269
tt10017956,7,228
tt10022384,5.6,165
tt10023080,7.6,134
tt10034272,7.9,188
tt10039344,5.4,3249
tt10039468,6.8,185
tt10045434,6.5,153
tt10046236,4.9,371
tt10048556,3.3,194
tt10055770,7.3,918
tt10076106,4.6,309
tt10076722,5.1,106
tt10077998,6.6,112
tt10080924,7.4,299
tt10084190,7.7,1254
tt10091696,7.5,578
tt10097364,6.3,132
tt10102350,2.4,447
tt10115562,6.4,392
tt10121762,7.3,526
tt10122038,7.5,104
tt10122392,7.5,184
tt10125662,3.4,256
tt10133300,8.4,613
tt10140922,6.2,187
tt10143498,6.4,137
tt10145122,6.9,702
tt10147382,6.6,623
tt10151260,7.5,534
tt10152214,6.1,153
tt10155342,6.9,301
tt10156112,7.6,516
tt10161238,5.5,310
tt10182822,6.7,1684
tt10183616,5.7,226
tt10187686,8,566
tt10187766,4.7,184
tt10195210,6.2,207
tt10196142,4.8,600
tt10199586,7.1,577
tt10199590,7.5,970
tt10199640,7.2,1618
tt10199670,4.7,228
tt10204366,6.6,100
tt10207850,5.1,133
tt10207954,7.3,216
tt10208194,6.8,179
tt10208198,6.9,2631
tt10214826,8.6,3084
tt10214842,2.7,503
tt10217550,7.2,886
tt10218664,6,397
tt10218674,5.4,250
tt10223546,6.6,104
tt10228204,6.8,183
tt10237612,7.1,163
tt10238788,2.6,277
tt10239930,6.7,492
tt10243678,6.5,3146
tt10244760,6.8,112
tt1024855,5.1,791
tt1025100,5.7,21606
tt10253466,6.7,424
tt10253816,6.7,248
tt10255320,3.5,191
tt10263320,3.4,6623
tt10272534,7,102
tt10275440,6,280
tt10276554,8.5,136
tt10279010,5.8,244
tt10280220,6.9,175
tt10295602,5.9,294
tt10298454,6.5,104
tt10298896,6.5,377
tt10303892,5.7,1171
tt10305328,2,169
tt10305616,5.6,445
tt10310222,6.3,381
tt10318332,7.1,323
tt10320050,7.1,1576
tt10323688,4.9,164
tt10324144,8.3,13683
tt10325070,5.3,103
tt10327712,6.1,416
tt10327842,2.9,298
tt10329842,3.9,149
tt10330046,7.6,175
tt10334602,7.2,529
tt10334624,4.4,138
tt10340618,6.1,115
tt10341248,4.6,109
tt1034385,6,9864
tt1034415,6.8,46628
tt10360782,5.2,187
